x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,y
124,1,2,2,4,2,4,2,4,1,1,3,1
125,1,2,1,2,1,3,1,2,2,2,5,1
126,1,2,2,1,1,3,1,3,2,1,3,1
127,1,2,2,1,1,4,1,4,2,2,5,-1
128,1,1,2,3,1,3,1,1,2,2,1,1
129,1,2,2,3,2,3,1,3,3,2,3,1
131,1,1,2,4,2,4,1,1,2,2,3,-1
132,1,2,2,2,2,3,2,2,2,2,4,1
133,1,1,1,3,2,3,2,1,3,2,4,1
134,1,1,2,1,2,5,2,2,1,2,5,-1
135,1,2,2,3,2,3,1,2,2,2,3,1
136,1,2,2,2,2,2,2,2,3,2,3,1
137,2,2,2,2,1,4,1,3,2,2,4,1
138,1,2,2,2,1,3,1,3,2,2,4,1
139,2,2,2,3,1,3,1,1,2,2,4,1
141,1,2,2,1,1,2,1,1,3,2,2,1
142,1,1,1,4,2,3,1,3,1,2,4,1
143,1,2,2,4,1,4,1,3,1,2,3,-1
144,2,2,2,3,1,1,1,1,2,1,3,-1
146,1,2,2,3,1,5,1,3,2,2,3,1
147,1,2,2,4,1,4,1,3,3,2,3,1
148,2,2,2,3,1,3,1,2,2,1,3,1
149,1,2,2,3,1,5,1,5,1,2,3,1
150,1,1,2,1,1,3,2,1,2,2,3,1
151,1,2,2,4,1,5,1,4,2,2,4,1
152,1,1,2,5,2,5,1,5,2,2,5,1
153,1,2,2,3,1,4,1,2,2,2,3,1
154,1,2,2,3,2,4,1,2,1,2,3,1
155,1,2,2,2,1,4,1,4,2,2,3,-1
156,1,2,2,3,1,5,1,2,3,1,3,1
157,1,2,2,2,1,3,1,3,2,2,3,-1
158,1,1,1,1,1,3,1,1,3,2,5,-1
159,1,2,2,4,1,5,1,5,3,2,3,-1
160,1,2,2,3,1,5,1,1,3,2,3,1
162,1,2,2,2,1,4,1,3,1,2,4,1
163,1,1,2,3,2,3,1,2,3,2,3,1
164,1,1,2,4,1,4,1,3,2,2,3,1
165,1,1,2,3,1,4,1,3,2,1,3,-1
167,1,2,2,4,2,1,2,1,2,2,1,-1
169,1,1,2,3,2,3,2,3,2,2,3,-1
