classifier_name,dataset_name,accuracy
NBC-Dis,dataset17,0.971
NBC-Dis,dataset18,0.611
NBC-Dis,dataset19,0.833
NBC-Dis,dataset20,0.993
NBC-Dis,dataset21,0.594
NBC-Dis,dataset22,0.548
C4.5-Dis,dataset1,0.835
C4.5-Dis,dataset2,0.817
C4.5-Dis,dataset3,0.814
C4.5-Dis,dataset4,0.933
C4.5-Dis,dataset5,0.999
C4.5-Dis,dataset6,0.999
C4.5-Dis,dataset7,0.983
C4.5-Dis,dataset8,0.999
C4.5-Dis,dataset9,0.999
C4.5-Dis,dataset10,0.999
C4.5-Dis,dataset11,0.959
C4.5-Dis,dataset12,0.999
C4.5-Dis,dataset13,0.999
C4.5-Dis,dataset14,0.988
C4.5-Dis,dataset15,0.999
C4.5-Dis,dataset16,0.999
C4.5-Dis,dataset17,0.986
C4.5-Dis,dataset18,0.978
C4.5-Dis,dataset19,0.999
C4.5-Dis,dataset20,0.999
C4.5-Dis,dataset21,0.949
C4.5-Dis,dataset22,0.999
RF-Dis,dataset1,0.835
RF-Dis,dataset2,0.817
RF-Dis,dataset3,0.814
RF-Dis,dataset4,0.933
RF-Dis,dataset5,0.999
RF-Dis,dataset6,0.999
RF-Dis,dataset7,0.999
RF-Dis,dataset8,0.999
RF-Dis,dataset9,0.999
RF-Dis,dataset10,0.999
RF-Dis,dataset11,0.96
RF-Dis,dataset12,0.999
RF-Dis,dataset13,0.999
RF-Dis,dataset14,0.988
RF-Dis,dataset15,0.999
RF-Dis,dataset16,0.999
RF-Dis,dataset17,0.986
RF-Dis,dataset18,0.978
RF-Dis,dataset19,0.999
RF-Dis,dataset20,0.999
RF-Dis,dataset21,0.949
RF-Dis,dataset22,0.999
