classifier_name,dataset_name,accuracy
Random-SMOTE,dataset35,0.488
Random-SMOTE,dataset36,0.662
SMOTE-IPF,dataset1,0.743
SMOTE-IPF,dataset2,0.775
SMOTE-IPF,dataset3,0.573
SMOTE-IPF,dataset4,0.776
SMOTE-IPF,dataset5,0.544
SMOTE-IPF,dataset6,0.69
SMOTE-IPF,dataset7,0.679
SMOTE-IPF,dataset8,0.451
SMOTE-IPF,dataset9,0.13
SMOTE-IPF,dataset10,0.222
SMOTE-IPF,dataset11,0.2
SMOTE-IPF,dataset12,0.722
SMOTE-IPF,dataset13,0.445
SMOTE-IPF,dataset14,0.697
SMOTE-IPF,dataset15,0.834
SMOTE-IPF,dataset16,0.452
SMOTE-IPF,dataset17,0.669
SMOTE-IPF,dataset18,0.999
SMOTE-IPF,dataset19,0.942
SMOTE-IPF,dataset20,0.984
SMOTE-IPF,dataset21,0.99
SMOTE-IPF,dataset22,0.951
SMOTE-IPF,dataset23,0.798
SMOTE-IPF,dataset24,0.903
SMOTE-IPF,dataset25,0.377
SMOTE-IPF,dataset26,0.06
SMOTE-IPF,dataset27,0.926
SMOTE-IPF,dataset28,0.372
SMOTE-IPF,dataset29,0.561
SMOTE-IPF,dataset30,0.696
SMOTE-IPF,dataset31,0.49
SMOTE-IPF,dataset32,0.896
SMOTE-IPF,dataset33,0.674
SMOTE-IPF,dataset34,0.822
SMOTE-IPF,dataset35,0.487
SMOTE-IPF,dataset36,0.659
